series,model,origin,step,yhat
s0,seasonal_naive,2808,12,18.749084
s0,seasonal_naive,2808,13,15.031077
s0,seasonal_naive,2808,14,11.225615
s0,seasonal_naive,2808,15,9.705027
s0,seasonal_naive,2808,16,9.071547
s0,seasonal_naive,2808,17,8.046311
s0,seasonal_naive,2808,18,8.402035
s0,seasonal_naive,2808,19,11.842046
s0,seasonal_naive,2808,20,9.364529
s0,seasonal_naive,2808,21,11.167444
s0,seasonal_naive,2808,22,10.788426
s0,seasonal_naive,2808,23,12.310182
s0,seasonal_naive,2832,0,16.655648
s0,seasonal_naive,2832,1,18.371008
s0,seasonal_naive,2832,2,21.390519
s0,seasonal_naive,2832,3,24.999608
s0,seasonal_naive,2832,4,23.390769
s0,seasonal_naive,2832,5,24.022916
s0,seasonal_naive,2832,6,27.071638
s0,seasonal_naive,2832,7,24.655039
s0,seasonal_naive,2832,8,24.766947
s0,seasonal_naive,2832,9,23.359639
s0,seasonal_naive,2832,10,25.006696
s0,seasonal_naive,2832,11,17.508460
s0,seasonal_naive,2832,12,16.951016
s0,seasonal_naive,2832,13,17.371148
s0,seasonal_naive,2832,14,16.394790
s0,seasonal_naive,2832,15,11.375520
s0,seasonal_naive,2832,16,13.778922
s0,seasonal_naive,2832,17,10.483660
s0,seasonal_naive,2832,18,9.947898
s0,seasonal_naive,2832,19,10.520747
s0,seasonal_naive,2832,20,13.041756
s0,seasonal_naive,2832,21,14.670658
s0,seasonal_naive,2832,22,14.301432
s0,seasonal_naive,2832,23,18.109425
s0,seasonal_naive,2856,0,19.388653
s0,seasonal_naive,2856,1,20.311673
s0,seasonal_naive,2856,2,27.005779
s0,seasonal_naive,2856,3,24.556682
s0,seasonal_naive,2856,4,27.688437
s0,seasonal_naive,2856,5,26.607271
s0,seasonal_naive,2856,6,28.199854
s0,seasonal_naive,2856,7,28.908078
s0,seasonal_naive,2856,8,28.365457
s0,seasonal_naive,2856,9,25.339960
s0,seasonal_naive,2856,10,25.269567
s0,seasonal_naive,2856,11,24.230034
s0,seasonal_naive,2856,12,24.110219
s0,seasonal_naive,2856,13,21.075566
s0,seasonal_naive,2856,14,19.716611
s0,seasonal_naive,2856,15,17.484113
s0,seasonal_naive,2856,16,14.257694
s0,seasonal_naive,2856,17,14.122486
s0,seasonal_naive,2856,18,15.944408
s0,seasonal_naive,2856,19,13.781861
s0,seasonal_naive,2856,20,13.998328
s0,seasonal_naive,2856,21,17.101529
s0,seasonal_naive,2856,22,16.023415
s0,seasonal_naive,2856,23,19.709461
s0,seasonal_naive,2880,0,21.304049
s0,seasonal_naive,2880,1,24.628949
s0,seasonal_naive,2880,2,29.404702
s0,seasonal_naive,2880,3,32.754447
s0,seasonal_naive,2880,4,31.341186
s0,seasonal_naive,2880,5,29.726861
s0,seasonal_naive,2880,6,32.773636
s0,seasonal_naive,2880,7,32.066443
s0,seasonal_naive,2880,8,29.687909
s0,seasonal_naive,2880,9,30.842111
s0,seasonal_naive,2880,10,27.048589
s0,seasonal_naive,2880,11,25.007144
s0,seasonal_naive,2880,12,23.991505
s0,seasonal_naive,2880,13,22.956453
s0,seasonal_naive,2880,14,19.366014
s0,seasonal_naive,2880,15,18.886347
s0,seasonal_naive,2880,16,14.133536
s0,seasonal_naive,2880,17,16.737443
s0,seasonal_naive,2880,18,15.234495
s0,seasonal_naive,2880,19,15.433124
s0,seasonal_naive,2880,20,13.019348
s0,seasonal_naive,2880,21,15.999271
s0,seasonal_naive,2880,22,17.162449
s0,seasonal_naive,2880,23,22.828440
s0,seasonal_naive,2904,0,22.424621
s0,seasonal_naive,2904,1,26.371567
s0,seasonal_naive,2904,2,28.876546
s0,seasonal_naive,2904,3,28.558123
s0,seasonal_naive,2904,4,29.007765
s0,seasonal_naive,2904,5,33.330472
s0,seasonal_naive,2904,6,32.022982
s0,seasonal_naive,2904,7,29.291575
s0,seasonal_naive,2904,8,31.160969
s0,seasonal_naive,2904,9,27.981641
s0,seasonal_naive,2904,10,28.048782
s0,seasonal_naive,2904,11,26.610824
s0,seasonal_naive,2904,12,21.820224
s0,seasonal_naive,2904,13,21.747959
s0,seasonal_naive,2904,14,14.113887
s0,seasonal_naive,2904,15,18.046978
s0,seasonal_naive,2904,16,12.656396
s0,seasonal_naive,2904,17,18.922631
s0,seasonal_naive,2904,18,15.060619
s0,seasonal_naive,2904,19,13.666198
s0,seasonal_naive,2904,20,17.138325
s0,seasonal_naive,2904,21,15.216162
s0,seasonal_naive,2904,22,18.190680
s0,seasonal_naive,2904,23,19.342672
s0,seasonal_naive,2928,0,21.737419
s0,seasonal_naive,2928,1,22.774849
s0,seasonal_naive,2928,2,26.162388
s0,seasonal_naive,2928,3,25.794211
s0,seasonal_naive,2928,4,28.287257
s0,seasonal_naive,2928,5,29.768272
s0,seasonal_naive,2928,6,27.937277
s0,seasonal_naive,2928,7,29.808053
s0,seasonal_naive,2928,8,28.301530
s0,seasonal_naive,2928,9,25.631875
s0,seasonal_naive,2928,10,23.476528
s0,seasonal_naive,2928,11,22.142045
s0,seasonal_naive,2928,12,19.275443
s0,seasonal_naive,2928,13,16.957754
s0,seasonal_naive,2928,14,15.488773
s0,seasonal_naive,2928,15,13.555707
s0,seasonal_naive,2928,16,12.646471
s0,seasonal_naive,2928,17,13.800606
s0,seasonal_naive,2928,18,12.568751
s0,seasonal_naive,2928,19,12.596613
s0,seasonal_naive,2928,20,12.720482
s0,seasonal_naive,2928,21,12.055968
s0,seasonal_naive,2928,22,12.841577
s0,seasonal_naive,2928,23,15.965778
s0,seasonal_naive,2952,0,20.162319
s0,seasonal_naive,2952,1,22.120193
s0,seasonal_naive,2952,2,19.667166
s0,seasonal_naive,2952,3,20.690092
s0,seasonal_naive,2952,4,27.354699
s0,seasonal_naive,2952,5,27.632147
s0,seasonal_naive,2952,6,24.503542
s0,seasonal_naive,2952,7,24.994709
s0,seasonal_naive,2952,8,24.287494
s0,seasonal_naive,2952,9,24.593523
s0,seasonal_naive,2952,10,20.287030
s0,seasonal_naive,2952,11,19.985530
s0,seasonal_naive,2952,12,17.310719
s0,seasonal_naive,2952,13,15.192067
s0,seasonal_naive,2952,14,14.381471
s0,seasonal_naive,2952,15,11.190903
s0,seasonal_naive,2952,16,7.557580
s0,seasonal_naive,2952,17,10.179979
s0,seasonal_naive,2952,18,7.616848
s0,seasonal_naive,2952,19,10.042843
s0,seasonal_naive,2952,20,9.771900
s0,seasonal_naive,2952,21,9.002770
s0,seasonal_naive,2952,22,12.585789
s0,seasonal_naive,2952,23,13.049689
s0,seasonal_naive,2976,0,16.532635
s0,seasonal_naive,2976,1,17.493418
s0,seasonal_naive,2976,2,21.660758
s0,seasonal_naive,2976,3,20.543242
s0,seasonal_naive,2976,4,22.351176
s0,seasonal_naive,2976,5,22.610393
s0,seasonal_naive,2976,6,22.729763
s0,seasonal_naive,2976,7,23.298599
s0,seasonal_naive,2976,8,23.282120
s0,seasonal_naive,2976,9,22.579161
s0,seasonal_naive,2976,10,20.126339
s0,seasonal_naive,2976,11,17.412156
s0,seasonal_naive,2976,12,13.605755
s0,seasonal_naive,2976,13,15.573149
s0,seasonal_naive,2976,14,11.365518
s0,seasonal_naive,2976,15,11.208785
s0,seasonal_naive,2976,16,7.644130
s0,seasonal_naive,2976,17,11.029099
s0,seasonal_naive,2976,18,9.502613
s0,seasonal_naive,2976,19,7.314287
s0,seasonal_naive,2976,20,10.164599
s0,seasonal_naive,2976,21,13.104626
s0,seasonal_naive,2976,22,12.412451
s0,seasonal_naive,2976,23,11.988974
s0,daily_naive,2760,0,22.424621
s0,daily_naive,2760,1,26.371567
s0,daily_naive,2760,2,28.876546
s0,daily_naive,2760,3,28.558123
s0,daily_naive,2760,4,29.007765
s0,daily_naive,2760,5,33.330472
s0,daily_naive,2760,6,32.022982
s0,daily_naive,2760,7,29.291575
s0,daily_naive,2760,8,31.160969
s0,daily_naive,2760,9,27.981641
s0,daily_naive,2760,10,28.048782
s0,daily_naive,2760,11,26.610824
s0,daily_naive,2760,12,21.820224
s0,daily_naive,2760,13,21.747959
s0,daily_naive,2760,14,14.113887
s0,daily_naive,2760,15,18.046978
s0,daily_naive,2760,16,12.656396
s0,daily_naive,2760,17,18.922631
s0,daily_naive,2760,18,15.060619
s0,daily_naive,2760,19,13.666198
s0,daily_naive,2760,20,17.138325
s0,daily_naive,2760,21,15.216162
s0,daily_naive,2760,22,18.190680
s0,daily_naive,2760,23,19.342672
s0,daily_naive,2784,0,21.737419
s0,daily_naive,2784,1,22.774849
s0,daily_naive,2784,2,26.162388
s0,daily_naive,2784,3,25.794211
s0,daily_naive,2784,4,28.287257
s0,daily_naive,2784,5,29.768272
s0,daily_naive,2784,6,27.937277
s0,daily_naive,2784,7,29.808053
s0,daily_naive,2784,8,28.301530
s0,daily_naive,2784,9,25.631875
s0,daily_naive,2784,10,23.476528
s0,daily_naive,2784,11,22.142045
s0,daily_naive,2784,12,19.275443
s0,daily_naive,2784,13,16.957754
s0,daily_naive,2784,14,15.488773
s0,daily_naive,2784,15,13.555707
s0,daily_naive,2784,16,12.646471
s0,daily_naive,2784,17,13.800606
s0,daily_naive,2784,18,12.568751
s0,daily_naive,2784,19,12.596613
s0,daily_naive,2784,20,12.720482
s0,daily_naive,2784,21,12.055968
s0,daily_naive,2784,22,12.841577
s0,daily_naive,2784,23,15.965778
s0,daily_naive,2808,0,20.162319
s0,daily_naive,2808,1,22.120193
s0,daily_naive,2808,2,19.667166
s0,daily_naive,2808,3,20.690092
s0,daily_naive,2808,4,27.354699
s0,daily_naive,2808,5,27.632147
s0,daily_naive,2808,6,24.503542
s0,daily_naive,2808,7,24.994709
s0,daily_naive,2808,8,24.287494
s0,daily_naive,2808,9,24.593523
s0,daily_naive,2808,10,20.287030
s0,daily_naive,2808,11,19.985530
s0,daily_naive,2808,12,17.310719
s0,daily_naive,2808,13,15.192067
s0,daily_naive,2808,14,14.381471
s0,daily_naive,2808,15,11.190903
s0,daily_naive,2808,16,7.557580
s0,daily_naive,2808,17,10.179979
s0,daily_naive,2808,18,7.616848
s0,daily_naive,2808,19,10.042843
s0,daily_naive,2808,20,9.771900
s0,daily_naive,2808,21,9.002770
s0,daily_naive,2808,22,12.585789
s0,daily_naive,2808,23,13.049689
s0,daily_naive,2832,0,16.532635
s0,daily_naive,2832,1,17.493418
s0,daily_naive,2832,2,21.660758
s0,daily_naive,2832,3,20.543242
s0,daily_naive,2832,4,22.351176
s0,daily_naive,2832,5,22.610393
s0,daily_naive,2832,6,22.729763
s0,daily_naive,2832,7,23.298599
s0,daily_naive,2832,8,23.282120
s0,daily_naive,2832,9,22.579161
s0,daily_naive,2832,10,20.126339
s0,daily_naive,2832,11,17.412156
s0,daily_naive,2832,12,13.605755
s0,daily_naive,2832,13,15.573149
s0,daily_naive,2832,14,11.365518
s0,daily_naive,2832,15,11.208785
s0,daily_naive,2832,16,7.644130
s0,daily_naive,2832,17,11.029099
s0,daily_naive,2832,18,9.502613
s0,daily_naive,2832,19,7.314287
s0,daily_naive,2832,20,10.164599
s0,daily_naive,2832,21,13.104626
s0,daily_naive,2832,22,12.412451
s0,daily_naive,2832,23,11.988974
s0,daily_naive,2856,0,17.603575
s0,daily_naive,2856,1,21.994520
s0,daily_naive,2856,2,18.512225
s0,daily_naive,2856,3,24.468150
s0,daily_naive,2856,4,23.834943
s0,daily_naive,2856,5,24.972389
s0,daily_naive,2856,6,25.812817
s0,daily_naive,2856,7,25.371837
s0,daily_naive,2856,8,26.055383
s0,daily_naive,2856,9,21.665419
s0,daily_naive,2856,10,21.862336
s0,daily_naive,2856,11,18.704541
s0,daily_naive,2856,12,17.447326
s0,daily_naive,2856,13,21.085998
s0,daily_naive,2856,14,13.185111
s0,daily_naive,2856,15,13.740198
s0,daily_naive,2856,16,12.382892
s0,daily_naive,2856,17,8.165395
s0,daily_naive,2856,18,9.274369
s0,daily_naive,2856,19,8.623009
s0,daily_naive,2856,20,12.231023
s0,daily_naive,2856,21,11.791844
s0,daily_naive,2856,22,14.265475
s0,daily_naive,2856,23,15.323676
s0,daily_naive,2880,0,21.077111
s0,daily_naive,2880,1,23.175101
s0,daily_naive,2880,2,26.677091
s0,daily_naive,2880,3,25.823313
s0,daily_naive,2880,4,28.705314
s0,daily_naive,2880,5,30.278413
s0,daily_naive,2880,6,32.237348
s0,daily_naive,2880,7,26.763400
s0,daily_naive,2880,8,26.810677
s0,daily_naive,2880,9,25.408440
s0,daily_naive,2880,10,23.242759
s0,daily_naive,2880,11,24.813227
s0,daily_naive,2880,12,22.900548
s0,daily_naive,2880,13,17.562020
s0,daily_naive,2880,14,16.262841
s0,daily_naive,2880,15,16.973193
s0,daily_naive,2880,16,14.538349
s0,daily_naive,2880,17,15.014294
s0,daily_naive,2880,18,14.223438
s0,daily_naive,2880,19,16.577769
s0,daily_naive,2880,20,17.595222
s0,daily_naive,2880,21,14.243814
s0,daily_naive,2880,22,21.102263
s0,daily_naive,2880,23,20.190435
s0,daily_naive,2904,0,21.312874
s0,daily_naive,2904,1,26.253594
s0,daily_naive,2904,2,25.737438
s0,daily_naive,2904,3,27.032168
s0,daily_naive,2904,4,29.840351
s0,daily_naive,2904,5,33.441782
s0,daily_naive,2904,6,28.695214
s0,daily_naive,2904,7,29.727538
s0,daily_naive,2904,8,27.945224
s0,daily_naive,2904,9,27.504819
s0,daily_naive,2904,10,27.584594
s0,daily_naive,2904,11,23.822594
s0,daily_naive,2904,12,24.396316
s0,daily_naive,2904,13,22.029025
s0,daily_naive,2904,14,21.110851
s0,daily_naive,2904,15,21.390051
s0,daily_naive,2904,16,15.479054
s0,daily_naive,2904,17,15.500297
s0,daily_naive,2904,18,15.033113
s0,daily_naive,2904,19,15.546330
s0,daily_naive,2904,20,17.705992
s0,daily_naive,2904,21,19.277735
s0,daily_naive,2904,22,19.145786
s0,daily_naive,2904,23,23.990440
s0,daily_naive,2928,0,23.465092
s0,daily_naive,2928,1,25.748835
s0,daily_naive,2928,2,26.398432
s0,daily_naive,2928,3,30.501148
s0,daily_naive,2928,4,31.844837
s0,daily_naive,2928,5,31.398141
s0,daily_naive,2928,6,28.159060
s0,daily_naive,2928,7,30.873706
s0,daily_naive,2928,8,31.341543
s0,daily_naive,2928,9,28.376094
s0,daily_naive,2928,10,27.150190
s0,daily_naive,2928,11,26.109033
s0,daily_naive,2928,12,20.216299
s0,daily_naive,2928,13,22.232864
s0,daily_naive,2928,14,15.902290
s0,daily_naive,2928,15,17.324436
s0,daily_naive,2928,16,16.712423
s0,daily_naive,2928,17,14.078626
s0,daily_naive,2928,18,15.241398
s0,daily_naive,2928,19,15.438050
s0,daily_naive,2928,20,14.474306
s0,daily_naive,2928,21,15.792268
s0,daily_naive,2928,22,19.286228
s0,daily_naive,2928,23,20.288879
s0,daily_naive,2952,0,22.696318
s0,daily_naive,2952,1,24.327458
s0,daily_naive,2952,2,24.550438
s0,daily_naive,2952,3,25.286819
s0,daily_naive,2952,4,26.473010
s0,daily_naive,2952,5,26.625163
s0,daily_naive,2952,6,25.675982
s0,daily_naive,2952,7,27.527014
s0,daily_naive,2952,8,26.083070
s0,daily_naive,2952,9,26.207645
s0,daily_naive,2952,10,23.933667
s0,daily_naive,2952,11,22.817156
s0,daily_naive,2952,12,21.801328
s0,daily_naive,2952,13,16.210393
s0,daily_naive,2952,14,15.300691
s0,daily_naive,2952,15,13.286110
s0,daily_naive,2952,16,11.077918
s0,daily_naive,2952,17,9.620133
s0,daily_naive,2952,18,11.205354
s0,daily_naive,2952,19,11.659013
s0,daily_naive,2952,20,11.449131
s0,daily_naive,2952,21,13.921800
s0,daily_naive,2952,22,15.037531
s0,daily_naive,2952,23,17.948541
s0,daily_naive,2976,0,18.333685
s0,daily_naive,2976,1,20.446585
s0,daily_naive,2976,2,23.793273
s0,daily_naive,2976,3,22.838141
s0,daily_naive,2976,4,25.414199
s0,daily_naive,2976,5,26.944678
s0,daily_naive,2976,6,26.950299
s0,daily_naive,2976,7,26.449207
s0,daily_naive,2976,8,25.207637
s0,daily_naive,2976,9,22.377052
s0,daily_naive,2976,10,22.642896
s0,daily_naive,2976,11,18.234074
s0,daily_naive,2976,12,16.200420
s0,daily_naive,2976,13,14.371327
s0,daily_naive,2976,14,13.562339
s0,daily_naive,2976,15,13.531460
s0,daily_naive,2976,16,11.721755
s0,daily_naive,2976,17,10.775157
s0,daily_naive,2976,18,9.503049
s0,daily_naive,2976,19,8.855302
s0,daily_naive,2976,20,7.960308
s0,daily_naive,2976,21,9.634557
s0,daily_naive,2976,22,12.401487
s0,daily_naive,2976,23,16.797233
s1,seasonal_naive,2832,0,42.954202
s1,seasonal_naive,2832,1,44.540315
s1,seasonal_naive,2832,2,55.154255
s1,seasonal_naive,2832,3,54.048195
s1,seasonal_naive,2832,4,55.644634
s1,seasonal_naive,2832,5,52.010078
s1,seasonal_naive,2832,6,55.602373
s1,seasonal_naive,2832,7,47.525073
s1,seasonal_naive,2832,8,51.554957
s1,seasonal_naive,2832,9,43.335661
s1,seasonal_naive,2832,10,43.247167
s1,seasonal_naive,2832,11,37.460025
s1,seasonal_naive,2832,12,35.055239
s1,seasonal_naive,2832,13,31.703703
s1,seasonal_naive,2832,14,27.105963
s1,seasonal_naive,2832,15,24.810794
s1,seasonal_naive,2832,16,18.617009
s1,seasonal_naive,2832,17,17.093055
s1,seasonal_naive,2832,18,29.054204
s1,seasonal_naive,2832,19,28.878784
s1,seasonal_naive,2832,20,24.992535
s1,seasonal_naive,2832,21,40.663627
s1,seasonal_naive,2832,22,36.160300
s1,seasonal_naive,2832,23,45.186049
s1,seasonal_naive,2856,0,49.647937
s1,seasonal_naive,2856,1,52.966633
s1,seasonal_naive,2856,2,58.474034
s1,seasonal_naive,2856,3,54.562133
s1,seasonal_naive,2856,4,61.054935
s1,seasonal_naive,2856,5,61.037984
s1,seasonal_naive,2856,6,61.773840
s1,seasonal_naive,2856,7,58.960363
s1,seasonal_naive,2856,8,55.128545
s1,seasonal_naive,2856,9,51.455951
s1,seasonal_naive,2856,10,53.108467
s1,seasonal_naive,2856,11,42.953471
s1,seasonal_naive,2856,12,42.983794
s1,seasonal_naive,2856,13,39.140059
s1,seasonal_naive,2856,14,34.416213
s1,seasonal_naive,2856,15,33.888410
s1,seasonal_naive,2856,16,33.005453
s1,seasonal_naive,2856,17,29.148787
s1,seasonal_naive,2856,18,33.154880
s1,seasonal_naive,2856,19,40.692211
s1,seasonal_naive,2856,20,33.545737
s1,seasonal_naive,2856,21,40.098529
s1,seasonal_naive,2856,22,42.940465
s1,seasonal_naive,2856,23,57.121465
s1,seasonal_naive,2880,0,50.084203
s1,seasonal_naive,2880,1,59.228434
s1,seasonal_naive,2880,2,66.055717
s1,seasonal_naive,2880,3,62.637370
s1,seasonal_naive,2880,4,66.889441
s1,seasonal_naive,2880,5,65.476448
s1,seasonal_naive,2880,6,62.698100
s1,seasonal_naive,2880,7,65.328850
s1,seasonal_naive,2880,8,64.523793
s1,seasonal_naive,2880,9,57.890849
s1,seasonal_naive,2880,10,55.707655
s1,seasonal_naive,2880,11,53.106490
s1,seasonal_naive,2880,12,50.507210
s1,seasonal_naive,2880,13,38.119037
s1,seasonal_naive,2880,14,41.073349
s1,seasonal_naive,2880,15,34.266133
s1,seasonal_naive,2880,16,28.381285
s1,seasonal_naive,2880,17,31.795726
s1,seasonal_naive,2880,18,37.446620
s1,seasonal_naive,2880,19,38.169762
s1,seasonal_naive,2880,20,36.189326
s1,seasonal_naive,2880,21,49.140691
s1,seasonal_naive,2880,22,49.173950
s1,seasonal_naive,2880,23,51.976093
s1,seasonal_naive,2904,0,54.715614
s1,seasonal_naive,2904,1,62.029974
s1,seasonal_naive,2904,2,62.630816
s1,seasonal_naive,2904,3,70.370819
s1,seasonal_naive,2904,4,68.994723
s1,seasonal_naive,2904,5,70.325555
s1,seasonal_naive,2904,6,66.264596
s1,seasonal_naive,2904,7,60.209707
s1,seasonal_naive,2904,8,64.077989
s1,seasonal_naive,2904,9,54.955080
s1,seasonal_naive,2904,10,53.664735
s1,seasonal_naive,2904,11,49.315420
s1,seasonal_naive,2904,12,42.047336
s1,seasonal_naive,2904,13,43.495479
s1,seasonal_naive,2904,14,31.851724
s1,seasonal_naive,2904,15,39.062073
s1,seasonal_naive,2904,16,30.113521
s1,seasonal_naive,2904,17,34.797297
s1,seasonal_naive,2904,18,36.437398
s1,seasonal_naive,2904,19,30.657449
s1,seasonal_naive,2904,20,33.702821
s1,seasonal_naive,2904,21,42.859685
s1,seasonal_naive,2904,22,44.216449
s1,seasonal_naive,2904,23,48.056519
s1,seasonal_naive,2928,0,45.640852
s1,seasonal_naive,2928,1,50.078501
s1,seasonal_naive,2928,2,60.724415
s1,seasonal_naive,2928,3,66.102808
s1,seasonal_naive,2928,4,60.002382
s1,seasonal_naive,2928,5,59.574155
s1,seasonal_naive,2928,6,62.189702
s1,seasonal_naive,2928,7,60.869333
s1,seasonal_naive,2928,8,58.015205
s1,seasonal_naive,2928,9,50.585209
s1,seasonal_naive,2928,10,40.884624
s1,seasonal_naive,2928,11,47.751931
s1,seasonal_naive,2928,12,36.293065
s1,seasonal_naive,2928,13,37.891987
s1,seasonal_naive,2928,14,22.979571
s1,seasonal_naive,2928,15,28.151466
s1,seasonal_naive,2928,16,23.284999
s1,seasonal_naive,2928,17,20.545449
s1,seasonal_naive,2928,18,28.031138
s1,seasonal_naive,2928,19,30.695627
s1,seasonal_naive,2928,20,26.828069
s1,seasonal_naive,2928,21,34.416788
s1,seasonal_naive,2928,22,32.438619
s1,seasonal_naive,2928,23,38.183558
s1,seasonal_naive,2952,0,43.603261
s1,seasonal_naive,2952,1,47.054124
s1,seasonal_naive,2952,2,53.610114
s1,seasonal_naive,2952,3,49.617626
s1,seasonal_naive,2952,4,58.355214
s1,seasonal_naive,2952,5,58.502865
s1,seasonal_naive,2952,6,53.436292
s1,seasonal_naive,2952,7,48.001355
s1,seasonal_naive,2952,8,40.803431
s1,seasonal_naive,2952,9,44.820760
s1,seasonal_naive,2952,10,38.143008
s1,seasonal_naive,2952,11,36.248890
s1,seasonal_naive,2952,12,27.647516
s1,seasonal_naive,2952,13,26.982490
s1,seasonal_naive,2952,14,23.114026
s1,seasonal_naive,2952,15,20.585719
s1,seasonal_naive,2952,16,19.795584
s1,seasonal_naive,2952,17,19.244457
s1,seasonal_naive,2952,18,22.174504
s1,seasonal_naive,2952,19,17.927857
s1,seasonal_naive,2952,20,25.815016
s1,seasonal_naive,2952,21,27.462952
s1,seasonal_naive,2952,22,29.607182
s1,seasonal_naive,2952,23,32.024567
s1,seasonal_naive,2976,0,44.763425
s1,seasonal_naive,2976,1,44.624103
s1,seasonal_naive,2976,2,45.453491
s1,seasonal_naive,2976,3,50.024114
s1,seasonal_naive,2976,4,51.324753
s1,seasonal_naive,2976,5,49.923071
s1,seasonal_naive,2976,6,46.239292
s1,seasonal_naive,2976,7,49.593932
s1,seasonal_naive,2976,8,45.661148
s1,seasonal_naive,2976,9,41.613992
s1,seasonal_naive,2976,10,41.757261
s1,seasonal_naive,2976,11,29.497570
s1,seasonal_naive,2976,12,26.350609
s1,seasonal_naive,2976,13,26.141983
s1,seasonal_naive,2976,14,25.063004
s1,seasonal_naive,2976,15,21.806272
s1,seasonal_naive,2976,16,20.752023
s1,seasonal_naive,2976,17,10.482507
s1,seasonal_naive,2976,18,20.563454
s1,seasonal_naive,2976,19,22.318138
s1,seasonal_naive,2976,20,26.254915
s1,seasonal_naive,2976,21,25.421943
s1,seasonal_naive,2976,22,33.899514
s1,seasonal_naive,2976,23,40.245886
s1,seasonal_naive,3000,0,46.932853
s1,seasonal_naive,3000,1,46.621129
s1,seasonal_naive,3000,2,44.906167
s1,seasonal_naive,3000,3,52.448826
s1,seasonal_naive,3000,4,56.252749
s1,seasonal_naive,3000,5,56.463320
s1,seasonal_naive,3000,6,60.728076
s1,seasonal_naive,3000,7,51.900231
s1,seasonal_naive,3000,8,46.506332
s1,seasonal_naive,3000,9,44.405874
s1,seasonal_naive,3000,10,44.867264
s1,seasonal_naive,3000,11,35.702779
s1,seasonal_naive,3000,12,30.736610
s1,seasonal_naive,3000,13,27.642557
s1,seasonal_naive,3000,14,31.444411
s1,seasonal_naive,3000,15,25.839228
s1,seasonal_naive,3000,16,22.628405
s1,seasonal_naive,3000,17,26.560946
s1,seasonal_naive,3000,18,27.079250
s1,seasonal_naive,3000,19,23.614600
s1,seasonal_naive,3000,20,32.956617
s1,seasonal_naive,3000,21,34.947688
s1,seasonal_naive,3000,22,31.636683
s1,seasonal_naive,3000,23,39.421682
s1,seasonal_naive,3024,0,49.109152
s1,seasonal_naive,3024,1,54.287593
s1,seasonal_naive,3024,2,55.439302
s1,seasonal_naive,3024,3,55.939881
s1,seasonal_naive,3024,4,62.067803
s1,seasonal_naive,3024,5,55.725551
s1,seasonal_naive,3024,6,63.413394
s1,seasonal_naive,3024,7,59.438639
s1,seasonal_naive,3024,8,57.297694
s1,seasonal_naive,3024,9,51.807771
s1,seasonal_naive,3024,10,52.936110
s1,seasonal_naive,3024,11,37.993750
s1,seasonal_naive,3024,12,38.834609
s1,seasonal_naive,3024,13,39.962586
s1,seasonal_naive,3024,14,32.416989
s1,seasonal_naive,3024,15,37.470680
